DOMAIN,AGENCY,REG,CALLSIGN,TYPE,MODEL,HEX,COT,ICON,Domain,Agency,Type,Model
FIRE,BRIDGER AEROSPACE,N200KQ,AA_0KQ-CWN,FIXED WING,KODI,A192F3,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_ROTOR.png,,,,
FIRE,,N220QK,AA_0QK-CWN,FIXED WING,KODI,A1E269,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_ROTOR.png,,,,
FIRE,,N350TA,AA_0TA-CWN_T3,HELICOPTER,AS50,A3E677,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_ROTOR_AIR_ATTACK.png,,,,
FIRE,SPUR AVIATION,N54163,AA_163-CWN,FIXED WING,AC80,A6DEE9,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N231AV,AA617-USFS,FIXED WING,AC90,A20C4B,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N751BR,AA_1BR,FIXED WING,AC90,AA1DE9,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N711PB,AA_1PB-USFS,FIXED WING,AC90,A9810B,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N721TB,AA621-CWN,FIXED WING,AC90,A9A8EE,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N3NT,AA_3NT-CWN,FIXED WING,,A31BDE,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_AIR_ATTACK.png,,,,
FIRE,,N162AL,AA_2AL-CWN,FIXED WING,AC60,A0F927,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/FIRE_ROTOR.png,,,,
